Abandoned;Blue;feeling left behind and not considered, wanted, or cared about
Absorbed;Green;fully focused and interested
Abused;Blue;experiencing cruel or unjust treatement
Accepted;Green;feeling acknowledged and seen
Accomplished;Yellow;feeling effective and successful
Affectionate;Green;feeling or showing fondness
Afraid;Red;experiencing fear or threat
Agitated;Red;very troubled and restless
Alarmed;Red;a sense of urgent fear or concern
Alert;Yellow;feeling awake and focused
Alienated;Blue;feeling like you have been made a stranger to others, like they have no feelings or affection towards you
Alive;Yellow;filled with energy and vitality
Amazed;Yellow;feeling lost in wonder about a particular event
Amused;Yellow;finding something funny or entertaining
Angry;Red;strongly bothered about a perceived injustice
Anguished;Red;experiencing severe psychological pain or suffering
Annoyed ;Red;bothered by something displeasing or uncomfortable
Anxious;Red;worried and uneasy about an uncertain outcome
Apathetic ;Blue;lacking enthusiasm or interest
Appreciated;Green;feeling recognized and worthy
Apprehensive;Red;unease and worry about something that might happen
Ashamed;Blue;feeling lower self-worth as a result of who you are or what you did
At Ease;Green;feeling content and comfortable
Atonished;Red;greatly surprised or impressed
Attentive;Yellow;focused on what you are doing
Awe;Yellow;feeling like you are in the presence of something vast
Balanced;Green;feeling stable and satisfied
Bereft;Blue;suffering a loss of someone or something
Betrayed;Blue;feeling hurt when someone breaks your trust
Blessed ;Green;feeling thankful and fortunate for what you have
Blissful;Green;feeling full of joy
Bored;Blue;lacking interest in something or someone 
Buoyant;Yellow;feeling cheerful abd lively
Burned Out ;Blue;feeling exhausted from ongoing stress
Calm;Green;feeling free of stress, agitation, and worry
Cancelled;Blue;feeling cast out because of a perceived offence
Carefree;Green;feeling free of worry and lighthearted
Challenged;Yellow;feeling pushed to reach a higher goal
Cheerful;Yellow;full of happy feelings
Chill;Green;feeling relaxed and easygoing
Comfortable;Green;feeling reasured both in mind and body
Compassionate ;Green;showing care and concern for someone
Competent;Yellow;feeling capable of doing something successfully
Concerned;Red;wondering if someone or something is okay
Confident;Yellow;feeling sure of yourself
Confused ;Red;feeling unable to make sense of something
Connected;Green;feeling close to someone or part of a community
Contempt;Red;feeling a combination of anger and disgust
Content;Green;feeling completeand like you are enough 
Crushed;Blue;overwhelmingly disappointed or let down
Curious;Yellow;interested in learning something 
Dazed;Red;feeling like you are unable to think or react
Dejected;Blue;feeling unhappy, low in spirits
Delighted;Yellow;feeling lifted by joy
Depressed;Blue;extremely unhappy and dispirited
Desire;Yellow;wishing or longing for something or someone
Desolate ;Blue;feeling bleak and miserable
Despair;Blue;a feeling of complete hopelessness
Determined;Yellow;knowing what you want and not letting anything stand in the way
Disappointed;Blue;sad because your expectations were not met
Discomfort;Red;feeling unease or pain
Disconnected;Blue;feeling separate from others
Discontented;Blue;dissatisfied with your circumstances
Discouraged ;Blue;feeling a loss of confidence and enthusiasm
Disenchanted;Blue;feeling let down by someone or something you once admired
Disengaged;Blue;"feeling like you cannot focus; disinterested"
Disgraced;Blue;suffering from a loss of a good reputation
Disgrunted;Blue;feeling annoyed and disappointed
Disgusted;Blue;feeling a strong dislike of someone or something
Disheartened;Blue;loss of resolve or determination
Disillusioned;Blue;disappointed in someone who has not lived up to your belief in them
Dispirited;Blue;having lost enthusiasm and hope
Disrespected;Blue;not being treated as if your ideas and feelings matter
Dissatisfied;Blue;unhappy with somone or something
Distressed;Red;feeling unwell and agitated psychologically, can have different causes (emotional pain, threat, loss, etc)
Down;Blue;feeling sad and like you ahve little energy
Dread;Red;anxiety because of expecting something unpleasing or upsetting
Dumbfounded;Red;being speechless with shock
Eager;Yellow;impatiently wanting to do or get something
Ecstatic;Yellow;feeling the greatest aount of joy or happiness
Elated;Yellow;very joyful, proud, or enthusiastic
Embarrassed;Red;self-conscious and uncomfortable about how you think others are perceiving you
Empathetic;Green;understanding and temporarily sharing the feelings of someone else, whether positive or negative (e.g. sharing in happiness or sorrow)
Empowered;Yellow;feeling stronger or more confident due to someone or something that happened
Empty;Blue;lacking meaning or connection
Encharted;Yellow;filled with delight
Energized;Yellow;feeling like you are wide awake and ready to get up and go
Engaged;Yellow;paying full attention or participating fully in something
Engrossed;Yellow;fully focused on someone or something
Enjoyment ;Yellow;taking pleasure in an activity or a moment
Enraged;Red;"made furious by something; filled with extreme anger"
Enraptured;Yellow;something that gives you great pleasure or joy
